"id";"Day";"Len";"State";"EV";"Dem";"GOP";"Ind";"Date";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"Pollster"
1;210.5;10;"Alabama";9;36;58;"";"Aug 02";"";"";"";"";"";"";"";"Morning Consult-10"
2;187.5;8;"Alabama";9;41;55;"";"Jul 09";"";"";"";"";"";"";"";"Auburn U. at Montgomery-8"
3;36.0;3;"Alabama";9;38;58;"";"Feb 06";"";"";"";"";"";"";"";"Mason-Dixon-3"
4;205.5;2;"Alaska";3;44;50;"";"Jul 24";"";"";"";"";"";"";"";"PPP-2"
5;189.5;2;"Alaska";3;45;48;"";"Jul 08";"";"";"";"";"";"";"";"PPP-2"
6;182.0;15;"Alaska";3;48;49;"";"Jul 07";"";"";"";"";"";"";"";"Alaska Survey Research-15"
7;261.5;6;"Arizona";11;48;49;"";"Sep 20";"";"";"";"";"";"";"";"Langer Research-6"
8;258.0;5;"Arizona";11;47;42;"";"Sep 16";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
9;258.0;7;"Arizona";11;47;46;"";"Sep 17";"";"";"";"";"";"";"";"Ipsos-7"
10;257.0;5;"Arizona";11;48;46;"";"Sep 15";"";"";"";"";"";"";"";"Monmouth U.-5"
11;256.5;6;"Arizona";11;49;40;"";"Sep 15";"";"";"";"";"";"";"";"Siena Coll.-6"
12;254.0;3;"Arizona";11;47;44;"";"Sep 11";"";"";"";"";"";"";"";"YouGov-3"
13;253.0;3;"Arizona";11;52;42;"";"Sep 10";"";"";"";"";"";"";"";"OH Predictive Insights-3"
14;249.5;16;"Arizona";11;45;40;"";"Sep 13";"";"";"";"";"";"";"";"Kaiser/Cook-16"
15;246.5;12;"Arizona";11;48;47;"";"Sep 08";"";"";"";"";"";"";"";"Benenson Strategy/GS Strategy-12"
16;245.5;6;"Arizona";11;48;43;"";"Sep 04";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-6"
17;243.5;4;"Arizona";11;49;40;"";"Sep 01";"";"";"";"";"";"";"";"Fox News-4"
18;238.5;10;"Arizona";11;52;42;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
19;230.0;3;"Arizona";11;47;38;"";"Aug 18";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
20;222.0;3;"Arizona";11;53;47;"";"Aug 10";"";"";"";"";"";"";"";"Emerson Coll.-3"
21;216.5;2;"Arizona";11;49;45;"";"Aug 04";"";"";"";"";"";"";"";"OH Predictive Insights-2"
22;203.5;10;"Arizona";11;49;42;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
23;203.0;5;"Arizona";11;46;38;"";"Jul 23";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
24;203.0;7;"Arizona";11;49;45;"";"Jul 24";"";"";"";"";"";"";"";"SSRS-7"
25;200.0;9;"Arizona";11;50;45;"";"Jul 22";"";"";"";"";"";"";"";"Marist Coll.-9"
26;199.5;2;"Arizona";11;49;45;"";"Jul 18";"";"";"";"";"";"";"";"PPP-2"
27;190.5;4;"Arizona";11;46;46;"";"Jul 10";"";"";"";"";"";"";"";"YouGov-4"
28;188.5;2;"Arizona";11;49;44;"";"Jul 07";"";"";"";"";"";"";"";"OH Predictive Insights-2"
29;167.5;4;"Arizona";11;43;39;"";"Jun 17";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-4"
30;166.0;3;"Arizona";11;49;45;"";"Jun 15";"";"";"";"";"";"";"";"Civiqs-3"
31;164.0;9;"Arizona";11;48;41;"";"Jun 16";"";"";"";"";"";"";"";"Siena Coll.-9"
32;152.5;4;"Arizona";11;46;42;"";"Jun 02";"";"";"";"";"";"";"";"Fox News-4"
33;141.0;5;"Arizona";11;47;45;"";"May 22";"";"";"";"";"";"";"";"High Ground Inc.-5"
34;133.0;5;"Arizona";11;45;41;"";"May 14";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
35;131.0;3;"Arizona";11;50;43;"";"May 11";"";"";"";"";"";"";"";"OH Predictive Insights-3"
36;98.5;2;"Arizona";11;52;43;"";"Apr 08";"";"";"";"";"";"";"";"OH Predictive Insights-2"
37;72.5;4;"Arizona";11;46;43;"";"Mar 14";"";"";"";"";"";"";"";"Monmouth U.-4"
38;72.5;6;"Arizona";11;47;46;"";"Mar 15";"";"";"";"";"";"";"";"Marist Coll.-6"
39;68.5;6;"Arizona";11;50;42;"";"Mar 11";"";"";"";"";"";"";"";"Latino Decisions-6"
40;63.5;2;"Arizona";11;49;43;"";"Mar 04";"";"";"";"";"";"";"";"OH Predictive Insights-2"
41;62.5;2;"Arizona";11;48;47;"";"Mar 03";"";"";"";"";"";"";"";"PPP-2"
42;44.0;5;"Arizona";11;42;46;"";"Feb 15";"";"";"";"";"";"";"";"Climate Nexus-5"
43;3.0;3;"Arizona";11;46;46;"";"Jan 04";"";"";"";"";"";"";"";"PPP-3"
44;161.5;2;"Arkansas";6;45;47;"";"Jun 10";"";"";"";"";"";"";"";"Hendrix Coll.-2"
45;271.0;3;"California";55;59;32;"";"Sep 28";"";"";"";"";"";"";"";"SurveyUSA-3"
46;264.0;3;"California";55;62;28;"";"Sep 21";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
47;256.0;7;"California";55;67;28;"";"Sep 15";"";"";"";"";"";"";"";"U. of Calif. at Berkeley-7"
48;252.5;10;"California";55;60;31;"";"Sep 13";"";"";"";"";"";"";"";"Public Policy Inst. of Calif.-10"
49;225.0;1;"California";55;56;28;"";"Aug 12";"";"";"";"";"";"";"";"SurveyUSA-1"
50;222.0;1;"California";55;61;25;"";"Aug 09";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-1"
51;206.0;7;"California";55;67;28;"";"Jul 27";"";"";"";"";"";"";"";"U.C. Berkeley-7"
52;142.5;10;"California";55;57;33;"";"May 26";"";"";"";"";"";"";"";"Public Policy Inst. of Calif.-10"
53;139.5;2;"California";55;58;30;"";"May 19";"";"";"";"";"";"";"";"SurveyUSA-2"
54;129.5;2;"California";55;65;35;"";"May 09";"";"";"";"";"";"";"";"Emerson Coll.-2"
55;88.5;2;"California";55;67;29;"";"Mar 29";"";"";"";"";"";"";"";"PPP-2"
56;58.5;8;"California";55;62;26;"";"Mar 02";"";"";"";"";"";"";"";"AtlasIntel-8"
57;58.0;3;"California";55;59;31;"";"Feb 28";"";"";"";"";"";"";"";"YouGov-3"
58;55.0;5;"California";55;60;35;"";"Feb 26";"";"";"";"";"";"";"";"SSRS-5"
59;53.5;6;"California";55;58;31;"";"Feb 25";"";"";"";"";"";"";"";"U. of California-6"
60;45.5;4;"California";55;57;37;"";"Feb 16";"";"";"";"";"";"";"";"SurveyUSA-4"
61;39.0;15;"California";55;60;30;"";"Feb 15";"";"";"";"";"";"";"";"YouGov-15"
62;15.0;3;"California";55;59;35;"";"Jan 16";"";"";"";"";"";"";"";"SurveyUSA-3"
63;246.0;7;"Colorado";9;50;40;"";"Sep 05";"";"";"";"";"";"";"";"Fabrizio Ward/Hart Research-7"
64;238.5;10;"Colorado";9;51;41;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
65;205.5;2;"Colorado";9;54;41;"";"Jul 24";"";"";"";"";"";"";"";"PPP-2"
66;203.5;10;"Colorado";9;52;39;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
67;181.5;2;"Colorado";9;56;39;"";"Jun 30";"";"";"";"";"";"";"";"PPP-2"
68;130.0;5;"Colorado";9;53;40;"";"May 11";"";"";"";"";"";"";"";"Global Strategy-5"
69;105.5;10;"Colorado";9;53;35;"";"Apr 19";"";"";"";"";"";"";"";"Montana State U.-10"
70;48.0;5;"Colorado";9;46;43;"";"Feb 19";"";"";"";"";"";"";"";"Climate Nexus-5"
71;142.5;6;"Connecticut";7;52;32;"";"May 24";"";"";"";"";"";"";"";"SurveyUSA-6"
72;123.0;5;"Connecticut";7;56;33;"";"May 04";"";"";"";"";"";"";"";"Quinnipiac U.-5"
